,0
0,"BenzingaMicron's AI-Driven HBM Demand and Data Center Growth to Fuel Stock Upside, Analysts SayMicron Technology, Inc (NASDAQ:MU) stock continued its upward trajectory Thursday after reporting upbeat quarterly results after the market closed on Wednesday. Micron reported fourth-quarter revenue of $7.75 billion, topping the analyst consensus estimate of $7.64 billion. The adjusted EPS of $1.18 beat the analyst consensus estimate of $1.13. Also Read: What’s Going On With Nvidia, Broadcom, Intel, And Other Chip Stocks On Thursday? Micron expects first-quarter revenue of $8.7 billion, plus or"
1,Yahoo FinanceSuper Micro Computer stock plunges on report of DOJ probeSuper Micro Computer stock dropped Thursday on a media report that the US Department of Justice is investigating the company for potential accounting violations.
2,"QuartzA weight loss drug developer's stock soars after a $198 million IPOShares of BioAge Labs (BIOA), a biopharmaceutical company focused on obesity drugs, opened 25% above its initial public offering (IPO) price on Thursday."
3,"BloombergStocks Stay Higher With Tech Still Driving Gains: Markets Wrap(Bloomberg) -- US stocks reclaimed some of their earlier gains as traders weigh economic data and company news. Most Read from BloombergNJ Transit, Amtrak Trains Delayed After Derailment Near NYCVanderbilt Leases Struggling NYC Seminary for Campus ExpansionWhere Cargo Bikes Are Freeing Cities From Polluting VansExclusive Palo Alto Girls School Borrows $106 MillionWaiting for the Miracle of Church-to-Housing DevelopmentThe S&P 500 and the Nasdaq 100 rose, but are still off the highs of the day. T"
4,"InvestopediaCircuit Board Maker Jabil Stock Soars on Strong Results, BuybackJabil beat fourth-quarter profit and sales estimates on the soaring demand for artificial intelligence infrastructure products."
5,"Yahoo FinanceStock market today: S&P 500, Nasdaq gain as US GDP data, chip stocks lift moodA double dose of optimism for the AI trade and for China's stimulus push is buoying the market ahead of Jerome Powell's comments."
6,PremiumMT NewswiresEquities Rise Intraday as Markets Assess Economic DataEquities Rise Intraday as Markets Assess Economic Data
7,"TheStreetStock movers: Micron, Super Micro Computer, StarbucksHere are the stocks making the biggest market moves midday."
8,"InvestopediaVolatile Month for Nvidia Stock ContinuesThe volatile month for shares of Nvidia continued Thursday, as the stock surged in early trading only to slip into negative territory in the afternoon."
9,"InvestopediaSuper Micro Computer Stock Plunges on Report of Federal Accounting ProbeSuper Micro Computer is reportedly under investigation by federal officials over questions about its accounting, and the news sent its shares sharply lower Thursday."
10,"Passive Income Expert: Here’s How I Make $27,000 Every WeekGOBankingRates"
11,"Russia's economy is so driven by the war in Ukraine that it cannot afford to either win or lose, economist saysBusiness Insider"
12,Super Micro Computer stock plunges on report of DOJ probeYahoo Finance
13,6 Reasons the Poor Stay Poor and Middle Class Doesn’t Become WealthyGOBankingRates
14,"Yellen, Bernanke see the US economy avoiding a recessionYahoo Finance"
15,"Stock market today: S&P 500, Nasdaq gain as US GDP data, chip stocks lift moodYahoo Finance"
16,30-year mortgage rate hits 2-year lowYahoo Finance
17,Oil falls more than 2% on report Saudi Arabia vows to bring barrels back even if prices fallYahoo Finance
18,Meta stock hits all-time high as Wall Street bets on AI visionYahoo Finance
19,A government shutdown is averted for now — but two new spending fights loomYahoo Finance
20,Target CEO hopes the company will eventually remove locked cases as it combats retail theftYahoo Finance
21,GDP: US economy grows at 3% annualized pace in second quarterYahoo Finance
22,Micron stock soars as Q1 revenue forecast tops analyst estimatesYahoo Finance
